mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.19249844551086426,0.01978689449659153,0.001987171173095703,0.00015280777763809135,relu,0.0001,"(50,)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.975,0.975,1.0,0.975,0.9833333333333333,0.9816666666666667,0.009718253158075509
0.29023103713989257,0.03197630523197264,0.0026595592498779297,0.0006803517519406594,relu,0.0001,"(50,)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",0.9333333333333333,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9266666666666665,0.05333333333333333,127,0.925,0.925,0.9333333333333333,0.9166666666666666,0.9416666666666667,0.9283333333333333,0.008498365855987974
0.06225113868713379,0.028230788608808535,0.002439260482788086,0.0006113906114862728,relu,0.0001,"(50,)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,1.0,0.99,0.008164965809277286
0.14083828926086425,0.015911571152354205,0.0023372650146484377,0.0005750682895591776,relu,0.0001,"(50,)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.975,0.975,0.975,0.009128709291752777
0.21404104232788085,0.028895582514513032,0.002117347717285156,0.00034711905839422447,relu,0.0001,"(100,)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.975,0.975,1.0,0.975,0.9833333333333333,0.9816666666666667,0.009718253158075509
0.41337084770202637,0.046840263988655186,0.001872682571411133,0.00027932458129296646,relu,0.0001,"(100,)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",0.9666666666666667,0.9666666666666667,0.8666666666666667,1.0,0.8666666666666667,0.9333333333333332,0.055777335102271695,124,0.9333333333333333,0.9333333333333333,0.9416666666666667,0.9333333333333333,0.95,0.9383333333333335,0.006666666666666643
0.09444732666015625,0.0363106641785179,0.0017648696899414062,0.00021017717325138376,relu,0.0001,"(100,)",0.01,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9833333333333333,0.9833333333333333,1.0,1.0,1.0,0.9933333333333334,0.008164965809277286
0.15020408630371093,0.00874041651820558,0.0018959999084472655,0.0006865231848743996,relu,0.0001,"(100,)",0.01,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (100,), 'mlp__learning_rate_init': 0.01, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9666666666666667,0.9666666666666667,0.9916666666666667,0.975,0.975,0.975,0.009128709291752777
0.2055635929107666,0.03280735538101499,0.0017328262329101562,0.00025305371059746736,relu,0.0001,"(50, 50)",0.001,adam,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'adam'}",1.0,0.9666666666666667,0.8666666666666667,1.0,0.9,0.9466666666666667,0.05416025603090639,101,0.9833333333333333,0.9833333333333333,1.0,0.9833333333333333,0.9916666666666667,0.9883333333333333,0.006666666666666693
0.5708433151245117,0.06689501448733776,0.0017825126647949218,0.00020843907597790738,relu,0.0001,"(50, 50)",0.001,sgd,"{'mlp__activation': 'relu', 'mlp__alpha': 0.0001, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate_init': 0.001, 'mlp__solver': 'sgd'}",1.0,0.9666666666666667,0.9,1.0,0.9,0.9533333333333334,0.04521553322083511,50,0.9583333333333334,0.95,0.9833333333333333,0.9583333333333334,0.975,0.9650000000000001,0.012247448713915874
